August	2008	2916	596	1193
September	2008	4780	1061	957
October	2008	4550	1163	438
November	2008	5990	1114	775
December	2008	1686	952	262
January	2009	1868	1116	560
February	2009	4320	1032	1094
March	2009	3480	669	656
April	2009	1949	762	561
May	2009	3395	536	890
June	2009	3275	1110	424
July	2009	1430	1260	219
August	2009	5836	1258	513
September	2009	3254	1368	1198
October	2009	2820	814	781
November	2009	2556	714	1155
December	2009	5816	816	446
